,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,aide,help
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,laisser,let
10,mettre,to put
11,laisse,leash
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,aucune,any
25,place,square
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,attention,Warning
31,voici,here is
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,donné,given
38,train,train
39,corps,body
40,endroit,place
41,yeux,eyes
42,façon,way
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,première,first
50,côté,side
51,pouvoir,power
52,vieux,old
53,sois,be
54,tiens,here
55,matin,morning
56,tellement,so much
57,enfant,child
58,point,point
59,venu,came
60,suite,after
61,pardon,sorry
62,venez,come
63,devant,in front of
64,vers,towards
65,minutes,minutes
66,demandé,request
67,chambre,bedroom
68,mis,placed
69,belle,beautiful
70,droit,law
71,aimerais,would like to
72,aujourd'hui,today
73,mari,husband
74,cause,cause
75,enfin,finally
76,espère,hope
77,eau,water
78,attendez,Wait
79,parti,left
80,nouvelle,new
81,arrêter,Stop
82,dirait,would say
83,terre,Earth
84,compte,account
85,donne,given
86,loin,far
87,fin,end
88,croire,believe
89,chérie,sweetheart
90,gros,large
91,plutôt,rather
92,aura,will have
93,filles,girls
94,jouer,to play
95,bureau,office
